id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_bulan,nama_bulan,tingkat_inflasi,satuan,tahun
361,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1,JANUARI,0,PERSEN,2021
362,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1,JANUARI,0,PERSEN,2021
363,32,JAWA BARAT,3213,KABUPATEN SUBANG,1,JANUARI,0,PERSEN,2021
364,32,JAWA BARAT,3271,KOTA BOGOR,1,JANUARI,0.19,PERSEN,2021
365,32,JAWA BARAT,3272,KOTA SUKABUMI,1,JANUARI,0.26,PERSEN,2021
366,32,JAWA BARAT,3273,KOTA BANDUNG,1,JANUARI,0.1,PERSEN,2021
367,32,JAWA BARAT,3274,KOTA CIREBON,1,JANUARI,0.08,PERSEN,2021
368,32,JAWA BARAT,3275,KOTA BEKASI,1,JANUARI,0.19,PERSEN,2021
369,32,JAWA BARAT,3276,KOTA DEPOK,1,JANUARI,0.14,PERSEN,2021
370,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1,JANUARI,0.25,PERSEN,2021
371,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2,FEBRUARI,0,PERSEN,2021
372,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2,FEBRUARI,0,PERSEN,2021
373,32,JAWA BARAT,3213,KABUPATEN SUBANG,2,FEBRUARI,0,PERSEN,2021
374,32,JAWA BARAT,3271,KOTA BOGOR,2,FEBRUARI,0.24,PERSEN,2021
375,32,JAWA BARAT,3272,KOTA SUKABUMI,2,FEBRUARI,0.07,PERSEN,2021
376,32,JAWA BARAT,3273,KOTA BANDUNG,2,FEBRUARI,0.09,PERSEN,2021
377,32,JAWA BARAT,3274,KOTA CIREBON,2,FEBRUARI,0.07,PERSEN,2021
378,32,JAWA BARAT,3275,KOTA BEKASI,2,FEBRUARI,0.23,PERSEN,2021
379,32,JAWA BARAT,3276,KOTA DEPOK,2,FEBRUARI,0.2,PERSEN,2021
380,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2,FEBRUARI,0.02,PERSEN,2021
381,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3,MARET,0,PERSEN,2021
382,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3,MARET,0,PERSEN,2021
383,32,JAWA BARAT,3213,KABUPATEN SUBANG,3,MARET,0,PERSEN,2021
384,32,JAWA BARAT,3271,KOTA BOGOR,3,MARET,0.06,PERSEN,2021
385,32,JAWA BARAT,3272,KOTA SUKABUMI,3,MARET,0.19,PERSEN,2021
386,32,JAWA BARAT,3273,KOTA BANDUNG,3,MARET,0.15,PERSEN,2021
387,32,JAWA BARAT,3274,KOTA CIREBON,3,MARET,0.07,PERSEN,2021
388,32,JAWA BARAT,3275,KOTA BEKASI,3,MARET,-0.1,PERSEN,2021
389,32,JAWA BARAT,3276,KOTA DEPOK,3,MARET,0.05,PERSEN,2021
390,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3,MARET,-0.06,PERSEN,2021
391,32,JAWA BARAT,3204,KABUPATEN BANDUNG,4,APRIL,0,PERSEN,2021
392,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,4,APRIL,0,PERSEN,2021
393,32,JAWA BARAT,3213,KABUPATEN SUBANG,4,APRIL,0,PERSEN,2021
394,32,JAWA BARAT,3271,KOTA BOGOR,4,APRIL,0.24,PERSEN,2021
395,32,JAWA BARAT,3272,KOTA SUKABUMI,4,APRIL,0.3,PERSEN,2021
396,32,JAWA BARAT,3273,KOTA BANDUNG,4,APRIL,0.19,PERSEN,2021
397,32,JAWA BARAT,3274,KOTA CIREBON,4,APRIL,0.33,PERSEN,2021
398,32,JAWA BARAT,3275,KOTA BEKASI,4,APRIL,0.13,PERSEN,2021
399,32,JAWA BARAT,3276,KOTA DEPOK,4,APRIL,0.33,PERSEN,2021
400,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4,APRIL,0.38,PERSEN,2021
401,32,JAWA BARAT,3204,KABUPATEN BANDUNG,5,MEI,0,PERSEN,2021
402,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,5,MEI,0,PERSEN,2021
403,32,JAWA BARAT,3213,KABUPATEN SUBANG,5,MEI,0,PERSEN,2021
404,32,JAWA BARAT,3271,KOTA BOGOR,5,MEI,0.4,PERSEN,2021
405,32,JAWA BARAT,3272,KOTA SUKABUMI,5,MEI,0.09,PERSEN,2021
406,32,JAWA BARAT,3273,KOTA BANDUNG,5,MEI,0.4,PERSEN,2021
407,32,JAWA BARAT,3274,KOTA CIREBON,5,MEI,0.34,PERSEN,2021
408,32,JAWA BARAT,3275,KOTA BEKASI,5,MEI,0.25,PERSEN,2021
409,32,JAWA BARAT,3276,KOTA DEPOK,5,MEI,0.65,PERSEN,2021
410,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5,MEI,0.11,PERSEN,2021
411,32,JAWA BARAT,3204,KABUPATEN BANDUNG,6,JUNI,0,PERSEN,2021
412,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,6,JUNI,0,PERSEN,2021
413,32,JAWA BARAT,3213,KABUPATEN SUBANG,6,JUNI,0,PERSEN,2021
414,32,JAWA BARAT,3271,KOTA BOGOR,6,JUNI,-0.17,PERSEN,2021
415,32,JAWA BARAT,3272,KOTA SUKABUMI,6,JUNI,-0.12,PERSEN,2021
416,32,JAWA BARAT,3273,KOTA BANDUNG,6,JUNI,-0.09,PERSEN,2021
417,32,JAWA BARAT,3274,KOTA CIREBON,6,JUNI,-0.17,PERSEN,2021
418,32,JAWA BARAT,3275,KOTA BEKASI,6,JUNI,-0.33,PERSEN,2021
419,32,JAWA BARAT,3276,KOTA DEPOK,6,JUNI,-0.29,PERSEN,2021
420,32,JAWA BARAT,3278,KOTA TASIKMALAYA,6,JUNI,-0.05,PERSEN,2021
421,32,JAWA BARAT,3204,KABUPATEN BANDUNG,7,JULI,0,PERSEN,2021
422,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,7,JULI,0,PERSEN,2021
423,32,JAWA BARAT,3213,KABUPATEN SUBANG,7,JULI,0,PERSEN,2021
424,32,JAWA BARAT,3271,KOTA BOGOR,7,JULI,0.07,PERSEN,2021
425,32,JAWA BARAT,3272,KOTA SUKABUMI,7,JULI,0.1,PERSEN,2021
426,32,JAWA BARAT,3273,KOTA BANDUNG,7,JULI,0.19,PERSEN,2021
427,32,JAWA BARAT,3274,KOTA CIREBON,7,JULI,0.02,PERSEN,2021
428,32,JAWA BARAT,3275,KOTA BEKASI,7,JULI,0.19,PERSEN,2021
429,32,JAWA BARAT,3276,KOTA DEPOK,7,JULI,-0.03,PERSEN,2021
430,32,JAWA BARAT,3278,KOTA TASIKMALAYA,7,JULI,0.08,PERSEN,2021
431,32,JAWA BARAT,3204,KABUPATEN BANDUNG,8,AGUSTUS,0,PERSEN,2021
432,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,8,AGUSTUS,0,PERSEN,2021
433,32,JAWA BARAT,3213,KABUPATEN SUBANG,8,AGUSTUS,0,PERSEN,2021
434,32,JAWA BARAT,3271,KOTA BOGOR,8,AGUSTUS,0.08,PERSEN,2021
435,32,JAWA BARAT,3272,KOTA SUKABUMI,8,AGUSTUS,-0.03,PERSEN,2021
436,32,JAWA BARAT,3273,KOTA BANDUNG,8,AGUSTUS,0.09,PERSEN,2021
437,32,JAWA BARAT,3274,KOTA CIREBON,8,AGUSTUS,0.09,PERSEN,2021
438,32,JAWA BARAT,3275,KOTA BEKASI,8,AGUSTUS,0.25,PERSEN,2021
439,32,JAWA BARAT,3276,KOTA DEPOK,8,AGUSTUS,0.06,PERSEN,2021
440,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8,AGUSTUS,0.02,PERSEN,2021
441,32,JAWA BARAT,3204,KABUPATEN BANDUNG,9,SEPTEMBER,0,PERSEN,2021
442,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,9,SEPTEMBER,0,PERSEN,2021
443,32,JAWA BARAT,3213,KABUPATEN SUBANG,9,SEPTEMBER,0,PERSEN,2021
444,32,JAWA BARAT,3271,KOTA BOGOR,9,SEPTEMBER,-0.1,PERSEN,2021
445,32,JAWA BARAT,3272,KOTA SUKABUMI,9,SEPTEMBER,-0.1,PERSEN,2021
446,32,JAWA BARAT,3273,KOTA BANDUNG,9,SEPTEMBER,-0.14,PERSEN,2021
447,32,JAWA BARAT,3274,KOTA CIREBON,9,SEPTEMBER,-0.06,PERSEN,2021
448,32,JAWA BARAT,3275,KOTA BEKASI,9,SEPTEMBER,-0.12,PERSEN,2021
449,32,JAWA BARAT,3276,KOTA DEPOK,9,SEPTEMBER,-0.07,PERSEN,2021
450,32,JAWA BARAT,3278,KOTA TASIKMALAYA,9,SEPTEMBER,-0.24,PERSEN,2021
451,32,JAWA BARAT,3204,KABUPATEN BANDUNG,10,OKTOBER,0,PERSEN,2021
452,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,10,OKTOBER,0,PERSEN,2021
453,32,JAWA BARAT,3213,KABUPATEN SUBANG,10,OKTOBER,0,PERSEN,2021
454,32,JAWA BARAT,3271,KOTA BOGOR,10,OKTOBER,0.08,PERSEN,2021
455,32,JAWA BARAT,3272,KOTA SUKABUMI,10,OKTOBER,0.04,PERSEN,2021
456,32,JAWA BARAT,3273,KOTA BANDUNG,10,OKTOBER,0.07,PERSEN,2021
457,32,JAWA BARAT,3274,KOTA CIREBON,10,OKTOBER,0.08,PERSEN,2021
458,32,JAWA BARAT,3275,KOTA BEKASI,10,OKTOBER,0.05,PERSEN,2021
459,32,JAWA BARAT,3276,KOTA DEPOK,10,OKTOBER,0.15,PERSEN,2021
